Degrees   		Distance (m)
0                       .33767094
2                       .34183113
4                       .36571747
6                       .36551857
8                       .36370186
10                      .36537880
12                      .36785667
14                      .36822220
16                      .37015182
18                      .36838882
20                      .36879192
22                      .37344666
24                      .37608574
26                      .37250065
28                      .37268875
30                      .38156822
32                      .37394112
34                      .38520168
36                      .38384720
38                      .39530659
40                      .90771202
42                      .79073143
44                      .40113304
46                      .40678215
48                      1.16326431
50                      .91159271
52                      2.03768387
54                      1.62973541
56                      1.68444168
58                      1.44688477
60                      .39258148
62                      .38756664
64                      .38294418
66                      .37998795
68                      .37321014
70                      .37047966
72                      .37446251
74                      .36552395
76                      .36091763
78                      .36689995
80                      .36664192
82                      .36296009
84                      .36407272
86                      .36086922
88                      .36188511
90                      .36399208
92                      .36406197
94                      .36086922
96                      .36242260
98                      .36684616
100                     .36707191
102                     .36745895
104                     .36984543
106                     .37044205
108                     .37506451
110                     .37768211
112                     .37652649
114                     .38357841
116                     .39575272
118                     .39577423
120                     1.40477737
122                     2.32761444
124                     1.41106598
126                     1.41689240
128                     1.40631989
130                     1.62481186
132                     1.36623886
134                     .43277004
136                     .42734673
138                     .42938919
140                     .41548958
142                     .41959064
144                     .41437157
146                     .41392544
148                     .40704552
150                     .40726585
152                     .40278854
154                     .40643272
156                     .40598125
158                     .40804523
160                     .40379902
162                     .40142868
164                     .39956356
166                     .40402477
168                     .40377754
170                     .40394417
172                     .40632523
174                     .40247139
176                     .40753464
178                     .40737877
180                     .41050159
